employee_id,gender,caste,location,department,task_type,task_count,avg_task_complexity,promotion_track
E0110,Male,OBC,Metro,Engineering,high_value,19,4.4,0
E0111,Female,SC,Metro,Finance,admin,45,1.0,0
E0112,Female,General,Metro,Finance,admin,14,1.0,0
E0113,Female,General,Tier-2,HR,high_value,24,4.1,1
E0114,Male,General,Metro,HR,high_value,45,3.7,0
E0115,Female,General,Tier-2,Sales,routine,27,2.8,0
E0116,Male,General,Rural,Sales,high_value,5,2.8,1
E0117,Male,OBC,Tier-2,Finance,routine,6,3.0,0
E0118,Female,OBC,Metro,Engineering,high_value,23,3.5,1
E0119,Female,OBC,Metro,Ops,high_value,18,4.8,1
E0120,Male,General,Rural,Ops,high_value,12,3.8,1
E0121,Male,General,Tier-2,Engineering,routine,42,1.7,0
E0122,Male,General,Rural,Engineering,routine,16,3.2,0
E0123,Male,SC,Rural,HR,admin,30,1.7,0
E0124,Male,General,Rural,Ops,high_value,31,4.3,0
E0125,Female,SC,Rural,Finance,routine,33,2.5,0
E0126,Male,General,Tier-2,Sales,routine,19,2.2,0
E0127,Female,SC,Metro,HR,admin,5,1.6,0
E0128,Female,SC,Rural,Ops,admin,47,1.3,0
E0129,Male,General,Tier-2,Engineering,high_value,32,3.7,1
E0130,Male,OBC,Metro,Ops,high_value,7,4.9,0
E0131,Male,General,Tier-2,Finance,routine,22,3.1,0
E0132,Male,SC,Tier-2,HR,high_value,38,4.3,1
E0133,Female,General,Rural,Engineering,routine,36,2.9,0
E0134,Male,General,Tier-2,Finance,high_value,33,3.8,1
E0135,Female,OBC,Metro,Sales,high_value,29,4.3,0
E0136,Male,SC,Rural,HR,high_value,30,3.7,1
E0137,Male,General,Rural,Finance,high_value,43,3.9,0
E0138,Male,OBC,Tier-2,Finance,high_value,12,3.7,1
E0139,Male,General,Metro,Engineering,routine,23,2.9,0
E0140,Male,General,Metro,Sales,admin,46,1.5,0
E0141,Male,OBC,Tier-2,Finance,high_value,26,4.2,0
E0142,Female,General,Metro,HR,high_value,33,4.2,1
E0143,Female,General,Metro,Finance,high_value,37,3.6,0
E0144,Male,SC,Tier-2,Ops,high_value,42,3.6,1
E0145,Male,General,Tier-2,HR,high_value,49,4.3,1
E0146,Male,OBC,Metro,HR,high_value,39,3.9,0
E0147,Male,General,Metro,Finance,high_value,47,4.3,1
E0148,Male,General,Metro,Engineering,high_value,7,4.3,0
E0149,Male,General,Tier-2,HR,routine,23,2.5,0
E0150,Male,OBC,Metro,Ops,high_value,14,4.3,0
E0151,Male,OBC,Metro,Engineering,routine,31,2.6,0
E0152,Male,General,Tier-2,Engineering,high_value,19,3.8,1
E0153,Male,General,Rural,Engineering,high_value,15,4.5,0
E0154,Female,ST,Tier-2,HR,routine,30,2.2,0
E0155,Male,General,Metro,Engineering,routine,28,2.1,0
E0156,Male,SC,Metro,Finance,high_value,17,3.8,0
E0157,Female,General,Rural,Engineering,high_value,36,4.9,1
E0158,Female,OBC,Metro,Ops,routine,41,3.5,0
E0159,Female,General,Tier-2,Sales,routine,8,2.3,0
E0160,Female,SC,Metro,Ops,admin,17,1.1,0
E0161,Male,OBC,Metro,HR,routine,13,3.0,0
E0162,Female,General,Rural,Engineering,high_value,38,3.9,1
E0163,Female,General,Tier-2,Engineering,high_value,41,3.7,1
E0164,Male,OBC,Tier-2,Finance,high_value,11,4.2,0
E0165,Male,OBC,Metro,Engineering,high_value,5,3.5,1
E0166,Female,General,Metro,Ops,admin,16,1.8,0
E0167,Male,General,Tier-2,HR,high_value,25,4.5,0
E0168,Male,SC,Tier-2,Sales,high_value,15,4.0,0
E0169,Male,General,Metro,Engineering,high_value,48,4.9,1
E0170,Male,OBC,Metro,Sales,admin,48,1.5,0
E0171,Male,General,Metro,Engineering,high_value,48,3.9,1
E0172,Female,SC,Rural,HR,admin,18,1.5,0
E0173,Female,ST,Tier-2,Ops,admin,38,1.0,0
E0174,Male,ST,Rural,HR,high_value,38,4.3,0
E0175,Female,General,Metro,Sales,admin,29,1.3,0
E0176,Male,SC,Rural,Engineering,high_value,8,4.4,1
E0177,Male,General,Metro,Sales,high_value,30,3.3,0
E0178,Female,OBC,Tier-2,Ops,high_value,20,4.1,1
E0179,Female,OBC,Rural,HR,high_value,14,3.6,1
E0180,Female,General,Metro,Sales,high_value,49,4.2,1
E0181,Female,ST,Metro,Sales,admin,6,2.4,0
E0182,Female,General,Metro,Ops,routine,39,2.9,0
E0183,Female,OBC,Metro,Engineering,routine,23,2.4,0
E0184,Male,SC,Tier-2,Sales,admin,10,1.0,0
E0185,Female,SC,Tier-2,Ops,routine,23,2.5,0
E0186,Female,General,Tier-2,Engineering,admin,12,1.8,0
E0187,Female,General,Tier-2,Engineering,routine,18,2.6,0
E0188,Male,SC,Tier-2,HR,high_value,14,4.2,1
E0189,Male,General,Metro,Ops,routine,7,2.3,0
E0190,Female,General,Metro,Engineering,high_value,42,3.7,1
E0191,Male,General,Rural,HR,high_value,33,3.8,0
E0192,Female,General,Metro,Finance,high_value,19,4.7,1
E0193,Male,SC,Tier-2,Ops,routine,27,2.1,0
E0194,Male,General,Metro,Finance,high_value,27,3.8,1
E0195,Female,OBC,Tier-2,Engineering,admin,22,2.1,0
E0196,Male,General,Tier-2,Ops,high_value,23,4.4,0
E0197,Male,General,Metro,HR,high_value,32,3.9,0
E0198,Female,General,Metro,Engineering,routine,30,2.3,0
E0199,Female,General,Tier-2,Ops,routine,14,2.0,0
E0200,Male,General,Metro,Ops,high_value,8,4.3,0
E0201,Female,OBC,Metro,Finance,high_value,6,3.8,1
E0202,Male,General,Tier-2,Engineering,high_value,7,3.6,1
E0203,Female,General,Metro,HR,high_value,11,4.0,0
E0204,Male,General,Rural,HR,high_value,20,4.0,0
E0205,Female,General,Tier-2,Engineering,high_value,35,3.4,0
E0206,Male,ST,Metro,Engineering,admin,14,1.5,0
E0207,Male,OBC,Tier-2,Sales,routine,23,2.7,0
E0208,Male,General,Tier-2,Finance,high_value,32,3.5,1
E0209,Female,General,Metro,Engineering,high_value,21,4.3,0
E0210,Male,ST,Metro,Engineering,high_value,32,4.3,0
E0211,Female,General,Metro,Sales,routine,23,2.4,0
E0212,Female,SC,Metro,Sales,routine,41,3.0,0
E0213,Male,General,Metro,Ops,routine,27,2.5,0
E0214,Male,ST,Metro,HR,admin,24,1.0,0
E0215,Male,SC,Metro,Finance,admin,17,1.5,0
E0216,Female,OBC,Tier-2,Ops,high_value,17,4.1,1
E0217,Male,General,Tier-2,Engineering,high_value,47,3.8,1
E0218,Male,General,Tier-2,Sales,high_value,15,3.8,0
E0219,Female,General,Tier-2,HR,admin,19,1.9,0
E0220,Female,General,Rural,Ops,routine,21,2.8,0
E0221,Male,General,Tier-2,HR,admin,32,2.0,0
E0222,Male,General,Tier-2,Sales,routine,23,2.7,0
E0223,Female,OBC,Metro,Ops,admin,8,1.1,0
E0224,Female,OBC,Rural,Ops,high_value,26,3.9,1
E0225,Female,General,Metro,HR,high_value,26,4.3,1
E0226,Female,General,Metro,Sales,routine,41,1.5,0
E0227,Male,ST,Tier-2,Engineering,high_value,43,4.3,0
E0228,Male,General,Metro,Ops,routine,38,3.4,0
E0229,Male,SC,Metro,Engineering,high_value,37,3.5,1
E0230,Male,General,Tier-2,Sales,high_value,48,3.9,1
E0231,Female,General,Tier-2,Ops,high_value,46,4.5,1
E0232,Male,General,Tier-2,Ops,high_value,44,3.2,1
E0233,Male,General,Rural,Engineering,high_value,37,4.3,1
E0234,Female,SC,Metro,Finance,admin,16,1.5,0
E0235,Male,OBC,Metro,Engineering,high_value,6,3.8,0
E0236,Male,General,Tier-2,Engineering,routine,32,3.0,0
E0237,Male,ST,Metro,Finance,routine,14,2.3,0
E0238,Female,General,Tier-2,Sales,high_value,26,4.5,0
E0239,Female,ST,Metro,Sales,admin,21,1.6,0
E0240,Male,ST,Tier-2,Ops,admin,30,1.5,0
E0241,Male,General,Tier-2,HR,high_value,7,5.0,1
E0242,Female,General,Tier-2,HR,routine,11,2.4,0
E0243,Female,General,Tier-2,Ops,routine,48,1.6,0
E0244,Female,OBC,Tier-2,HR,high_value,12,3.9,1
E0245,Female,OBC,Metro,Engineering,high_value,24,4.4,1
E0246,Female,ST,Metro,Engineering,high_value,16,3.1,0
E0247,Male,OBC,Metro,Finance,routine,39,3.1,0
E0248,Male,General,Metro,Finance,high_value,21,4.5,1
E0249,Male,General,Metro,Ops,admin,32,1.1,0
E0250,Female,OBC,Tier-2,Ops,high_value,45,4.3,1
E0251,Female,General,Metro,Ops,high_value,14,3.7,1
E0252,Male,SC,Tier-2,Engineering,high_value,26,4.6,0
E0253,Male,General,Rural,HR,routine,42,3.0,0
E0254,Male,General,Metro,Ops,routine,37,2.3,0
E0255,Female,General,Metro,Ops,high_value,26,4.0,1
E0256,Female,OBC,Metro,Engineering,high_value,48,4.0,0
E0257,Female,General,Tier-2,Engineering,routine,41,2.3,0
E0258,Female,SC,Metro,Engineering,high_value,17,4.4,0
E0259,Female,General,Metro,HR,high_value,31,4.4,1
E0260,Female,SC,Tier-2,Ops,routine,19,2.6,0
E0261,Female,OBC,Metro,Sales,admin,26,2.0,0
E0262,Male,General,Tier-2,Sales,high_value,34,3.5,0
E0263,Male,SC,Tier-2,Ops,high_value,47,2.6,0
E0264,Male,General,Tier-2,Ops,high_value,44,4.0,1
E0265,Male,General,Metro,Ops,routine,41,2.2,0
E0266,Female,General,Rural,Ops,routine,38,2.6,0
E0267,Male,SC,Tier-2,HR,high_value,48,4.3,1
E0268,Female,ST,Metro,Sales,routine,38,1.7,0
E0269,Male,OBC,Metro,Finance,admin,39,1.0,0
E0270,Male,OBC,Metro,Sales,high_value,46,3.6,0
E0271,Female,SC,Rural,Sales,admin,23,1.7,0
E0272,Male,General,Rural,Engineering,routine,12,2.6,0
E0273,Male,ST,Tier-2,Ops,routine,43,2.7,0
E0274,Male,General,Rural,Ops,high_value,37,3.8,0
E0275,Female,ST,Metro,Ops,admin,48,1.6,0
E0276,Male,OBC,Metro,Engineering,routine,32,3.3,0
E0277,Female,SC,Rural,HR,admin,41,1.3,0
E0278,Female,OBC,Tier-2,HR,routine,29,2.2,0
E0279,Female,General,Tier-2,Finance,admin,40,1.6,0
E0280,Female,OBC,Tier-2,HR,routine,21,2.7,0
E0281,Male,General,Rural,HR,high_value,28,3.8,0
E0282,Male,OBC,Tier-2,Ops,high_value,25,3.5,1
E0283,Female,OBC,Rural,Sales,routine,6,2.5,0
E0284,Male,SC,Tier-2,HR,high_value,35,4.0,0
E0285,Male,OBC,Metro,HR,high_value,48,3.8,0
E0286,Male,General,Rural,Engineering,high_value,37,4.4,1
E0287,Female,General,Metro,Finance,high_value,34,4.1,1
E0288,Male,OBC,Rural,Engineering,routine,16,3.0,0
E0289,Male,General,Tier-2,Ops,routine,48,3.1,0
E0290,Female,General,Tier-2,Sales,routine,16,3.0,0
E0291,Female,SC,Tier-2,Finance,high_value,28,3.9,1
E0292,Male,OBC,Metro,Engineering,routine,28,3.0,0
E0293,Male,OBC,Metro,HR,high_value,15,3.7,1
E0294,Female,General,Rural,HR,high_value,17,2.7,1
E0295,Female,OBC,Rural,Finance,high_value,31,4.3,1
E0296,Female,General,Metro,HR,high_value,12,4.6,1
E0297,Male,OBC,Rural,Engineering,routine,14,1.3,0
E0298,Male,General,Rural,Engineering,routine,12,2.8,0
E0299,Female,SC,Tier-2,HR,admin,24,1.4,0
E0300,Female,General,Metro,HR,high_value,12,3.6,1
